"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 03/08/2018. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 5,575 Crashes containing 8,263 Units and 10,045 Persons"

"Query Filters:"
"Crash Year Is Equal To 2018"
"  Crash Location is All of Texas"

"Managed Filters:"
"Speed Related Crashes"

"Crash ID","Agency","City","County","Crash Death Count","Crash Severity","Crash Time","Crash Total Injury Count","Crash Year","Day of Week","Latitude","Longitude","Manner of Collision","Population Group","Road Class","Speed Limit","Weather Condition","Vehicle Color","Person Age","Person Ethnicity","Person Gender","Person Type"
"16173663","Department Of Public Safety, State Of Texas","Rural Ellis County","Ellis","0","Not Injured","0600","0","2018","Monday","32.47307557","-96.75573247","One Motor Vehicle - Going Straight","Rural","Farm To Market","55","Clear","Black","62","White","Male","Driver"
"16173743","Bexar County Law Enforcement","Rural Bexar County","Bexar","0","Not Injured","0220","0","2018","Monday","29.66628492","-98.47864","Same Direction - One Straight-One Stopped","Rural","County Road","40","Cloudy","Red","No Data","White","Female","Driver"
"16173743","Bexar County Law Enforcement","Rural Bexar County","Bexar","0","Not Injured","0220","0","2018","Monday","29.66628492","-98.47864","Same Direction - One Straight-One Stopped","Rural","County Road","40","Cloudy","Red","17","White","Male","Driver"
"16174381","San Antonio Police Department","San Antonio","Bexar","0","Non-Incapacitating Injury","0353","1","2018","Monday","29.4863473","-98.56298821","One Motor Vehicle - Going Straight","250,000 Pop And Over","City Street","35","Rain","Silver","20","Hispanic","Female","Driver"
"16174445","San Antonio Police Department","San Antonio","Bexar","0","Not Injured","0400","0","2018","Monday","29.45006497","-98.5420423","Angle - One Straight-One Left Turn","250,000 Pop And Over","City Street","20","Cloudy","White","No Data","Unknown","Unknown","Driver"
"16174445","San Antonio Police Department","San Antonio","Bexar","0","Not Injured","0400","0","2018","Monday","29.45006497","-98.5420423","Angle - One Straight-One Left Turn","250,000 Pop And Over","City Street","20","Cloudy","White","46","Hispanic","Female","Driver"
"16174466","Hereford Police Department","Hereford","Deaf Smith","0","Not Injured","2113","0","2018","Monday","34.82886645","-102.39960748","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","City Street","30","Clear","Blue","26","Hispanic","Male","Driver"
"16174466","Hereford Police Department","Hereford","Deaf Smith","0","Not Injured","2113","0","2018","Monday","34.82886645","-102.39960748","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","City Street","30","Clear","Blue","27","Hispanic","Male","Passenger/Occupant"
"16174532","Pharr Police Department","Pharr","Hidalgo","0","Not Injured","0316","0","2018","Monday","26.22494562","-98.17082251","One Motor Vehicle - Going Straight","50,000 - 99,999 Pop","City Street","30","Rain","Black","47","Hispanic","Female","Driver"
"16174808","Killeen Police Department","Killeen","Bell","0","Non-Incapacitating Injury","1727","1","2018","Monday","No Data","No Data","One Motor Vehicle - Going Straight","100,000 - 249,999 Pop","Interstate","60","Snow","Blue","31","White","Female","Driver"
"16175063","Grand Prairie Police Department","Dallas","Dallas","0","Not Injured","0314","0","2018","Monday","32.69405963","-96.98571121","Same Direction - Both Going Straight-Rear End","250,000 Pop And Over","Farm To Market","45","Clear","Brown","37","Hispanic","Male","Driver"
"16175063","Grand Prairie Police Department","Dallas","Dallas","0","Not Injured","0314","0","2018","Monday","32.69405963","-96.98571121","Same Direction - Both Going Straight-Rear End","250,000 Pop And Over","Farm To Market","45","Clear","White","46","White","Male","Driver"
"16175154","Department Of Public Safety, State Of Texas","Rural Jefferson County","Jefferson","0","Not Injured","0754","0","2018","Monday","29.82653504","-94.35133761","One Motor Vehicle - Going Straight","Rural","US & State Highways","65","Clear","Red","21","Black","Male","Driver"
"16175339","Longview Police Department","Longview","Gregg","1","Killed","0022","0","2018","Monday","32.51770199","-94.70857312","One Motor Vehicle - Going Straight","50,000 - 99,999 Pop","Farm To Market","40","Clear","Blue","35","Black","Female","Driver"
"16175983","Dilley Police Department","Dilley","Frio","0","Possible Injury","0820","1","2018","Monday","28.66870797","-99.18357437","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","White","47","Hispanic","Male","Driver"
"16175983","Dilley Police Department","Dilley","Frio","0","Possible Injury","0820","1","2018","Monday","28.66870797","-99.18357437","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","White","38","Hispanic","Female","Passenger/Occupant"
"16175983","Dilley Police Department","Dilley","Frio","0","Possible Injury","0820","1","2018","Monday","28.66870797","-99.18357437","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","White","16","Hispanic","Female","Passenger/Occupant"
"16175983","Dilley Police Department","Dilley","Frio","0","Possible Injury","0820","1","2018","Monday","28.66870797","-99.18357437","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","White","12","Hispanic","Male","Passenger/Occupant"
"16176318","Pharr Police Department","Rural Hidalgo County","Hidalgo","0","Not Injured","1853","0","2018","Monday","26.13920556","-98.21818435","One Motor Vehicle - Going Straight","Rural","City Street","30","Cloudy","Black","18","Hispanic","Male","Driver"
"16176318","Pharr Police Department","Rural Hidalgo County","Hidalgo","0","Not Injured","1853","0","2018","Monday","26.13920556","-98.21818435","One Motor Vehicle - Going Straight","Rural","City Street","30","Cloudy","Black","43","Hispanic","Male","Passenger/Occupant"
"16176388","Department Of Public Safety, State Of Texas","Rural Erath County","Erath","0","Not Injured","0110","0","2018","Monday","32.262147","-98.15023333","One Motor Vehicle - Going Straight","Rural","US & State Highways","75","Sleet/Hail","Blue","77","White","Male","Driver"
"16176395","Department Of Public Safety, State Of Texas","Rural Erath County","Erath","0","Possible Injury","0000","1","2018","Monday","32.26141192","-98.18809566","One Motor Vehicle - Going Straight","Rural","County Road","-1","Sleet/Hail","Black","23","White","Male","Driver"
"16176655","Department Of Public Safety, State Of Texas","Rural Ector County","Ector","0","Possible Injury","0235","1","2018","Monday","31.78725944","-102.47681519","One Motor Vehicle - Going Straight","Rural","County Road","55","Clear","Black","52","Hispanic","Male","Driver"
